ID;Match;FieldAdvantage;OutcomeWL;PointsWon;Result;GoalsMade;GoalsTaken;BallPoss;Shots;ShotsOnT;ShotsPrec;PassAtt;PassSucc;PassPrec;RosterQuality;Knowledge;YellowC;RedC;FoulsC;FoulsT;TacklesW;TacklesAtt;TacklesWRatio;AirDuelW;DribW;DribAtt;DribWRatio
PLCa31;8/04/2017 Bournemouth-Chelsea;A;W;3;1 a 3;3;1;48,90%;15;5;33,33%;457;524;87,21%;401500000;104,1428571;3;0;11;7;19;24;79,17%;67%;9;21;42,86%
PLCa32;16/04/2017 Manchester United-Chelsea;A;L;0;2 a 0;0;2;53,80%;5;0;0,00%;379;479;79,12%;375500000;114,7857143;3;0;20;16;23;31;74,19%;39%;8;11;72,73%
PLCa33;25/04/2017 Chelsea-Southampton;H;W;3;4 a 2;4;2;47,80%;17;7;41,18%;388;477;81,34%;387500000;136;2;0;13;9;15;21;71,43%;70%;9;10;90,00%
PLCa34;30/04/2017 Everton-Chelsea;A;W;3;0 a 3;3;0;50,50%;11;5;45,46%;340;426;79,81%;389000000;103,5;4;0;11;13;12;20;60,00%;50%;16;24;66,67%
PLCa35;8/05/2017 Chelsea-Middlesbrough;H;W;3;3 a 0;3;0;57,10%;21;7;33,33%;531;619;85,78%;371000000;133,6428571;0;0;8;21;14;20;70,00%;37%;14;20;70,00%
PLCa36;12/05/2017 West Bromwich Albion- Chelsea;A;W;3;0 a 1;1;0;67,60%;24;5;20,83%;500;571;87,57%;396500000;101,5;0;0;8;13;7;13;53,85%;48%;8;15;53,33%
PLCa37;15/05/2017 Chelsea-Watford;H;W;3;4 a 3;4;3;47,10%;24;9;37,50%;381;456;83,55%;261000000;103,4285714;2;0;7;12;32;41;78,05%;67%;16;19;84,21%
PLCa38;21/05/2017 Chelsea-Sunderland;H;W;3;5 a 1;5;1;70,50%;28;8;28,57%;587;643;91,29%;364500000;129,8571429;1;0;8;15;16;25;64,00%;67%;12;14;85,71%
PLCo1;13/08/2016 Everton-Tottenham;H;D;1;1 a 1;1;1;42,50%;12;6;50,00%;262;361;72,58%;123500000;168,1428571;0;0;10;14;25;38;65,79%;62%;9;15;60,00%
PLCo2;20/08/2016 West Bromwich Albion-Everton;A;W;3;1 a 2;2;1;66,40%;13;7;53,85%;486;580;83,79%;164500000;160,6428571;1;0;10;16;16;30;53,33%;48%;16;24;66,67%
PLCo3;27/08/2016 Everton-Stoke City;H;W;3;1 a 0;1;0;54,90%;21;9;42,86%;400;482;82,99%;149000000;147,8571429;2;0;14;11;21;34;61,77%;45%;19;29;65,52%
PLCo4;12/09/2016 Sunderland-Everton;A;W;3;0 a 3;3;0;66,70%;20;9;45,00%;507;569;89,10%;164000000;162,3571429;1;0;8;11;29;42;69,05%;29%;7;14;50,00%
PLCo5;17/09/2016 Everton-Middlesbrough;H;W;3;3 a 1;3;1;52,20%;11;6;54,55%;457;544;84,01%;173500000;169,8571429;2;0;5;15;20;28;71,43%;42%;20;29;68,97%
PLCo6;24/09/2016 Bournemouth-Everton;A;L;0;1 a 0;0;1;47,20%;13;2;15,39%;279;367;76,02%;159500000;147,7857143;2;0;14;10;26;36;72,22%;54%;6;13;46,15%
PLCo7;30/09/2016 Everton-Crystal Palace;H;D;1;1 a 1;1;1;56,60%;13;3;23,08%;299;398;75,13%;149500000;142,5;5;0;16;11;18;33;54,55%;52%;16;18;88,89%
PLCo8;15/10/2016 Manchester City-Everton;A;D;1;1 a 1;1;1;27,40%;3;2;66,67%;160;255;62,75%;153500000;152,7142857;2;0;9;7;25;39;64,10%;60%;6;13;46,15%
PLCo9;22/10/2016 Burnley-Everton;A;L;0;2 a 1;1;2;65,10%;21;8;38,10%;452;557;81,15%;159500000;147,7857143;3;0;15;16;6;7;85,71%;61%;14;19;73,68%
PLCo10;30/10/2016 Everton-West Ham United;H;W;3;2 a 0;2;0;49,30%;17;6;35,29%;333;410;81,22%;157500000;164,7142857;2;0;15;12;15;25;60,00%;64%;13;14;92,86%
PLCo11;5/11/2016 Chelsea-Everton;A;L;0;5 a 0;0;5;39,90%;1;0;0,00%;380;463;82,07%;154500000;162,7142857;3;0;16;5;23;40;57,50%;69%;4;13;30,77%
PLCo12;19/11/2016 Everton-Swansea;H;D;1;1 a 1;1;1;62,70%;14;6;42,86%;386;500;77,20%;185000000;155,2142857;5;0;13;12;17;20;85,00%;72%;9;14;64,29%
PLCo13;27/11/2016 Southampton-Everton;A;L;0;1 a 0;0;1;47,10%;13;1;7,69%;323;415;77,83%;170500000;183;2;0;15;11;23;36;63,89%;55%;10;18;55,56%
PLCo14;4/12/2016 Everton-Manchester United;H;D;1;1 a 1;1;1;45,50%;13;6;46,15%;258;380;67,90%;158000000;142,2142857;2;0;13;11;18;30;60,00%;46%;11;20;55,00%
PLCo15;10/12/2016 Watford-Everton;A;L;0;3 a 2;2;3;52,70%;11;4;36,36%;287;400;71,75%;181000000;171,8571429;2;0;16;11;22;36;61,11%;49%;9;13;69,23%
PLCo16;13/12/2016 Everton-Arsenal;H;W;3;2 a 1;2;1;41,50%;14;4;28,57%;250;358;69,83%;174100000;147,2142857;1;1;10;10;23;31;74,19%;52%;11;15;73,33%
PLCo17;19/12/2016 Everton-Liverpool;H;L;0;0 a 1;0;1;32,30%;6;1;16,67%;180;285;63,16%;162100000;162,5;3;0;13;9;16;22;72,73%;62%;8;17;47,06%
PLCo18;26/12/2016 Leicester-Everton;A;W;3;0 a 2;2;0;58,00%;8;3;37,50%;407;549;74,14%;164000000;159,0714286;0;0;7;14;14;24;58,33%;60%;9;17;52,94%
PLCo19;30/12/2016 Hull City-Everton;A;D;1;2 a 2;2;2;56,60%;20;7;35,00%;425;525;80,95%;163600000;152,2142857;2;0;13;10;23;33;69,70%;45%;13;24;54,17%
PLCo20;2/01/2017 Everton-Southampton;H;W;3;3 a 0;3;0;54,00%;17;6;35,29%;367;487;75,36%;165100000;153,2857143;0;0;5;14;23;31;74,19%;59%;11;19;57,90%
PLCo21;15/01/2017 Everton-Manchester City;H;W;3;4 a 0;4;0;29,20%;6;4;66,67%;183;270;67,78%;187500000;148,1428571;2;0;17;7;21;32;65,63%;32%;16;18;88,89%
PLCo22;21/01/2017 Crystal Palace-Everton;A;W;3;0 a 1;1;0;56,00%;17;8;47,06%;379;476;79,62%;175000000;154,9285714;1;0;15;10;14;22;63,64%;26%;17;22;77,27%
PLCo23;01/02/2017 Stoke City-Everton;A;D;1;1 a 1;1;1;52,90%;15;5;33,33%;383;485;78,97%;185000000;105,6428571;0;0;12;21;8;20;40,00%;38%;9;12;75,00%
PLCo24;04/02/2017 Everton-Bournemouth;H;W;3;6 a 3;6;3;45,70%;15;10;66,67%;391;477;81,97%;187500000;148,1428571;3;0;14;4;22;30;73,33%;52%;20;27;74,07%
PLCo25;11/02/2017 Middlesbrough-Everton;A;D;1;0 a 0;0;0;54,10%;7;3;42,86%;455;562;80,96%;182500000;154,2142857;0;0;9;14;24;39;61,54%;48%;7;16;43,75%
PLCo26;25/02/2017 Everton-Sunderland;H;W;3;2 a 0;2;0;63,60%;20;8;40,00%;427;512;83,40%;204000000;111,7857143;0;0;10;16;16;25;64,00%;39%;13;22;59,09%
PLCo27;05/03/2017 Tottenham-Everton;A;L;0;3 a 2;2;3;48,50%;8;4;50,00%;328;440;74,55%;206000000;154,2857143;2;0;14;9;22;33;66,67%;34%;5;9;55,56%
PLCo28;11/03/2017 Everton-West Bromwich Albion;H;W;3;3 a 0;3;0;62,80%;16;5;31,25%;489;605;80,83%;182600000;157,4285714;1;0;8;12;11;20;55,00%;43%;7;15;46,67%
PLCo29;18/03/2017 Everton-Hull City;H;W;3;4 a 0;4;0;51,50%;14;8;57,14%;377;469;80,38%;180600000;153,1428571;2;0;9;7;19;20;95,00%;36%;9;12;75,00%
PLCo30;01/04/2017 Liverpool-Everton;A;L;0;3 a 1;1;3;48,60%;9;4;44,44%;312;429;72,73%;138100000;137,6428571;3;0;10;17;25;42;59,52%;50%;15;17;88,24%
PLCo31;04/04/2017 Manchester United-Everton;A;D;1;1 a 1;1;1;38,40%;11;4;36,36%;283;370;76,49%;126850000;133,7857143;4;1;18;10;19;31;61,29%;55%;5;12;41,67%
PLCo32;09/04/2017 Everton-Leicester;H;W;3;4 a 2;4;2;60,10%;12;7;58,33%;479;594;80,64%;150500000;129,9285714;2;0;8;15;18;31;58,07%;51%;13;21;61,91%
PLCo33;15/04/2017 Everton-Burnley;H;W;3;3 a 1;3;1;63,20%;29;7;24,14%;446;529;84,31%;168000000;146,2142857;2;0;15;14;18;24;75,00%;40%;6;13;46,15%
PLCo34;22/04/2017 West Ham United-Everton;A;D;1;0 a 0;0;0;59,40%;4;0;0,00%;430;524;82,06%;155100000;142,9285714;3;0;15;9;20;33;60,61%;42%;8;15;53,33%
PLCo35;30/04/2017 Everton-Chelsea;H;L;0;0 a 3;0;3;49,50%;12;3;25,00%;332;423;78,49%;135600000;100,6428571;3;0;13;11;21;37;56,76%;50%;8;12;66,67%
PLCo36;6/05/2017 Swansea-Everton;A;L;0;1 a 0;0;1;62,40%;9;2;22,22%;490;568;86,27%;135850000;137,7857143;0;0;13;5;11;16;68,75%;49%;10;15;66,67%
PLCo37;12/05/2017 Everton-Watford;H;W;3;1 a 0;1;0;62,10%;15;6;40,00%;449;538;83,46%;170000000;151,6428571;0;0;7;11;12;22;54,55%;55%;8;14;57,14%
PLCo38;21/05/2017 Arsenal-Everton;A;L;0;3 a 1;1;3;50,50%;22;7;31,82%;366;428;85,51%;170000000;151,6428571;4;0;15;10;10;18;55,56%;47%;5;10;50,00%
PDCa1;21/08/2016 Real Sociedad-Real Madrid;A;W;3;0 a 3;3;0;55,40%;18;8;44,44%;441;535;82,43%;455000000;106,5;3;0;11;22;27;34;79,41%;52%;15;27;55,56%
PDCa2;27/08/2016 Real Madrid-Celta Vigo;H;W;3;2 a 1;2;1;53,50%;24;10;41,67%;403;462;87,23%;450000000;100,7857143;0;0;8;11;25;39;64,10%;71%;14;23;60,87%
PDCa3;10/09/2016 Real Madrid-Osasuna;H;W;3;5 a 2;5;2;61,40%;25;11;44,00%;437;496;88,11%;493000000;118,0714286;2;0;14;14;17;22;77,27%;64%;12;18;66,67%
PDCa4;18/09/2016 Espanyol-Real Madrid;A;W;3;0 a 2;2;0;59,80%;13;7;53,85%;531;593;89,55%;441000000;131,4285714;2;0;8;19;17;25;68,00%;53%;8;18;44,44%
PDCa5;21/09/2016 Real Madrid-Villareal;H;D;1;1 a 1;1;1;59,00%;23;6;26,09%;519;583;89,02%;579000000;123,2857143;4;0;9;9;20;24;83,33%;81%;5;11;45,46%
PDCa6;24/09/2016 Las Palmas-Real Madrid;A;D;1;2 a 2;2;2;45,40%;27;11;40,74%;369;435;84,83%;544000000;123,7142857;2;0;19;7;17;20;85,00%;50%;7;12;58,33%
PDCa7;02/10/2016 Real Madrid-Eibar;H;D;1;1 a 1;1;1;65,00%;15;3;20,00%;459;529;86,77%;500000000;101,4285714;4;0;8;15;27;37;72,97%;61%;12;26;46,15%
PDCa8;15/10/2016 Betis Sevilla-Real Madrid;A;W;3;1 a 6;6;1;51,50%;22;9;40,91%;473;535;88,41%;517000000;118,7857143;1;0;8;14;16;28;57,14%;60%;13;17;76,47%
PDCa9;23/10/2016 Real Madrid-Athletic Bilbao;H;W;3;2 a 1;2;1;65,60%;24;8;33,33%;521;587;88,76%;509000000;116,3571429;2;0;10;17;19;27;70,37%;60%;13;27;48,15%
PDCa10;29/10/2016 Alaves-Real Madrid;A;W;3;1 a 4;4;1;58,70%;15;5;33,33%;464;542;85,61%;507000000;115,9285714;1;0;6;15;24;33;72,73%;50%;9;16;56,25%
PDCa11;06/11/2016 Real Madrid-Leganes;H;W;3;3 a 0;3;0;64,80%;17;7;41,18%;563;642;87,70%;568000000;101,5;3;0;7;20;32;42;76,19%;73%;13;24;54,17%
PDCa12;19/11/2016 Atletico Madrid-Real Madrid;A;W;3;0 a 3;3;0;52,70%;12;7;58,33%;420;495;84,85%;556000000;111,7857143;2;0;14;21;18;33;54,55%;68%;12;21;57,14%
PDCa13;26/11/2016 Real Madrid-Sporting Gijon;H;W;3;2 a 1;2;1;53,50%;19;7;36,84%;426;497;85,71%;485000000;137,5714286;1;0;9;18;18;27;66,67%;71%;13;20;65,00%
PDCa14;03/12/2016 Barcelona-Real Madrid;A;D;1;1 a 1;1;1;45,00%;14;5;35,71%;354;422;83,89%;462000000;127,7142857;2;0;16;19;26;38;68,42%;67%;12;20;60,00%
PDCa15;10/12/2016 Real Madrid-Deportivo La Coruna;H;W;3;3 a 2;3;2;64,20%;17;5;29,41%;558;630;88,57%;346000000;105,4285714;3;0;16;17;23;30;76,67%;44%;9;14;64,29%
PDCa16;07/01/2017 Real Madrid-Granada;H;W;3;5 a 0;5;0;61,40%;23;13;56,52%;570;627;90,91%;522000000;111,4285714;1;0;11;11;25;35;71,43%;44%;7;12;58,33%
PDCa17;15/01/2017 Sevilla-Real Madrid;A;L;0;2 a 1;1;2;42,30%;10;3;30,00%;345;425;81,18%;454000000;117,6428571;1;0;10;13;14;30;46,67%;52%;13;19;68,42%
PDCa18;21/01/2017 Real Madrid-Malaga;H;W;3;2 a 1;2;1;57,70%;14;7;50,00%;452;523;86,42%;509000000;130,6428571;2;0;7;20;22;27;81,48%;68%;7;21;33,33%
PDCa19;29/01/2017 Real Madrid-Real Sociedad;H;W;3;3 a 0;3;0;43,10%;7;4;57,14%;320;409;78,24%;455000000;107,8571429;2;0;15;12;38;46;82,61%;64%;10;14;71,43%
PDCa20;11/02/2017 Osasuna-Real Madrid;A;W;3;1 a 3;3;1;65,80%;12;6;50,00%;517;611;84,62%;517000000;128,7857143;2;0;8;10;28;43;65,12%;58%;8;20;40,00%
PDCa21;18/02/2017 Real Madrid-Espanyol;H;W;3;2 a 0;2;0;68,10%;13;3;23,08%;575;652;88,19%;458000000;109,3571429;3;0;12;13;19;24;79,17%;46%;10;24;41,67%
PDCa22;22/02/2017 Valencia-Real Madrid;A;L;0;2 a 1;1;2;71,50%;22;5;22,73%;539;602;89,54%;594000000;129,7142857;2;0;18;13;15;22;68,18%;41%;12;22;54,55%
PDCa23;26/02/2017 Villareal-Real Madrid;A;W;3;2 a 3;3;2;49,60%;25;6;24,00%;431;497;86,72%;565000000;145,7142857;2;0;6;15;12;20;60,00%;70%;9;14;64,29%
PDCa24;01/03/2017 Real Madrid-Las Palmas;H;D;1;3 a 3;3;3;43,20%;20;7;35,00%;357;408;87,50%;588000000;129;5;1;15;19;13;27;48,15%;78%;13;18;72,22%
PDCa25;04/03/2017 Eibar-Real Madrid;A;W;3;1 a 4;4;1;50,60%;12;7;58,33%;330;440;75,00%;366000000;104,5714286;1;0;14;13;18;24;75,00%;60%;7;19;36,84%
PDCa26;12/03/2017 Real Madrid-Betis Sevilla;H;W;3;2 a 1;2;1;69,90%;14;4;28,57%;547;643;85,07%;546000000;132,0714286;1;0;8;21;24;34;70,59%;55%;13;16;81,25%
PDCa27;18/03/2017 Athletic Bilbao-Real Madrid;A;W;3;1 a 2;2;1;52,40%;12;5;41,67%;365;454;80,40%;564000000;134,0714286;4;0;13;17;27;39;69,23%;57%;12;23;52,17%
PDCa28;02/04/2017 Real Madrid-Alaves;H;W;3;3 a 0;3;0;62,70%;18;6;33,33%;475;554;85,74%;510000000;110,7142857;0;0;12;16;17;28;60,71%;42%;26;32;81,25%
PDCa29;05/04/2017 Leganes-Real Madrid;A;W;3;2 a 4;4;2;61,70%;18;8;44,44%;539;625;86,24%;360000000;95,14285714;1;0;16;14;11;21;52,38%;65%;17;24;70,83%
PDCa30;08/04/2017 Real Madrid-Atletico Madrid;H;D;1;1 a 1;1;1;61,20%;20;6;30,00%;509;596;85,40%;540000000;146,8571429;2;0;12;13;26;37;70,27%;41%;11;23;47,83%
PDCa31;15/04/2017 Sporting Gijon-Real Madrid;A;W;3;2 a 3;3;2;68,80%;18;6;33,33%;541;605;89,42%;308000000;92,85714286;1;0;11;17;20;24;83,33%;75%;19;27;70,37%
PDCa32;23/04/2017 Real Madrid-Barcelona;H;L;0;2 a 3;2;3;42,50%;22;14;63,64%;330;390;84,62%;582000000;123,2857143;3;1;13;8;17;34;50,00%;36%;8;16;50,00%
PDCa33;26/04/2017 Deportivo la Coruna-Real Madrid;A;W;3;2 a 6;6;2;53,30%;22;11;50,00%;459;530;86,60%;288300000;68,57142857;1;0;5;12;22;33;66,67%;65%;25;32;78,13%
PDCa34;29/04/2017 Real Madrid-Valencia;H;W;3;2 a 1;2;1;59,70%;20;5;25,00%;517;571;90,54%;522000000;122,5;3;0;13;10;18;28;64,29%;64%;6;18;33,33%
PDCa35;06/05/2017 Granada-Real Madrid;A;W;3;0 a 4;4;0;52,00%;16;8;50,00%;538;581;92,60%;338000000;89,5;0;0;8;14;14;24;58,33%;64%;13;19;68,42%
PDCa36;14/05/2017 Real Madrid-Sevilla;H;W;3;4 a 1;4;1;49,20%;14;7;50,00%;434;481;90,23%;475000000;92,5;3;0;14;19;20;26;76,92%;46%;13;21;61,91%
PDCa37;17/05/2017 Celta Vigo-Real Madrid;A;W;3;1 a 4;4;1;47,60%;13;8;61,54%;415;491;84,52%;500000000;128,3571429;2;0;9;17;17;28;60,71%;50%;12;16;75,00%
PDCa38;21/05/2017 Malaga-Real Madrid;A;W;3;0 a 2;2;0;47,50%;16;8;50,00%;401;468;85,68%;582000000;128,3571429;0;0;9;6;16;28;57,14%;48%;13;20;65,00%
PDCo1;19/08/2016 Celta Vigo-Leganes;H;L;0;0 a 1;0;1;64,40%;10;2;20,00%;485;593;81,79%;57400000;58,42857143;4;0;5;13;27;33;81,82%;39%;10;17;58,82%
PDCo2;27/08/2016 Real Madrid-Celta Vigo;A;L;0;2 a 1;1;2;46,50%;8;3;37,50%;324;408;79,41%;58500000;67,07142857;2;0;11;8;17;31;54,84%;29%;14;22;63,64%
PDCo3;10/09/2016 Celta Vigo-Atletico Madrid;H;L;0;0 a 4;0;4;57,70%;9;1;11,11%;381;483;78,88%;55900000;66,21428571;1;0;13;12;21;32;65,63%;54%;7;14;50,00%
PDCo4;18/09/2016 Osasuna-Celta Vigo;A;D;1;0 a 0;0;0;60,90%;13;5;38,46%;371;466;79,61%;61900000;66;1;0;14;18;29;34;85,29%;73%;7;14;50,00%
