ID;Match;FieldAdvantage;OutcomeWL;PointsWon;Result;GoalsMade;GoalsTaken;BallPoss;Shots;ShotsOnT;ShotsPrec;PassAtt;PassSucc;PassPrec;RosterQuality;Knowledge;YellowC;RedC;FoulsC;FoulsT;TacklesW;TacklesAtt;TacklesWRatio;AirDuelW;DribW;DribAtt;DribWRatio
SACa33;23/04/2017 Juventus-Genoa;H;W;3;4 a 0;4;0;57,30%;18;4;22,22%;496;555;89,37%;264500000;130,2142857;0;0;10;13;14;18;77,78%;67%;11;17;64,71%
SACa34;28/04/2017 Atalanta-Juventus;A;D;1;2 a 2;2;2;65,30%;16;8;50,00%;512;594;86,20%;291000000;168;2;0;9;13;18;28;64,29%;58%;9;15;60,00%
SACa35;06/05/2017 Juventus-Torino;H;D;1;1 a 1;1;1;61,50%;22;5;22,73%;465;544;85,48%;315500000;112,9285714;3;0;15;11;20;24;83,33%;41%;11;15;73,33%
SACa36;14/05/2017 Roma-Juventus;A;L;0;3 a 1;1;3;54,90%;16;5;31,25%;416;481;86,49%;303000000;164,2857143;2;0;6;9;18;24;75,00%;46%;11;12;91,67%
SACa37;21/05/2017 Juventus-Crotone;H;W;3;3 a 0;3;0;69,20%;18;7;38,89%;504;596;84,56%;304500000;157,5;1;0;13;14;23;31;74,19%;57%;5;11;45,46%
SACa38;27/05/2017 Bologna-Juventus;A;W;3;1 a 2;2;1;62,80%;17;7;41,18%;513;589;87,10%;282700000;126,3571429;1;0;8;17;7;12;58,33%;53%;13;18;72,22%
SACo1;21/08/2016 Bologna-Crotone;H;W;3;1 a 0;1;0;47,40%;20;6;30,00%;354;437;81,01%;40100000;87,28571429;1;0;7;17;16;22;72,73%;63%;11;16;68,75%
SACo2;28/08/2016 Torino-Bologna;A;L;0;5 a 1;1;5;51,60%;10;2;20,00%;357;423;84,40%;42800000;88,21428571;2;0;12;14;20;34;58,82%;36%;11;16;68,75%
SACo3;11/09/2016 Bologna-Cagliari;H;W;3;2 a 1;2;1;45,80%;17;10;58,82%;309;378;81,75%;41300000;73,57142857;1;0;13;9;10;23;43,48%;58%;9;16;56,25%
SACo4;17/09/2016 Napoli-Bologna;A;L;0;3 a 1;1;3;38,50%;8;3;37,50%;353;433;81,52%;35300000;67,14285714;1;1;7;11;13;24;54,17%;36%;10;15;66,67%
SACo5;21/09/2016 Bologna-Sampdoria;H;W;3;2 a 0;2;0;40,40%;11;4;36,36%;276;373;74,00%;37300000;79,57142857;1;1;16;12;20;25;80,00%;36%;8;23;34,78%
SACo6;25/09/2016 Inter-Bologna;A;D;1;1 a 1;1;1;39,70%;8;3;37,50%;262;357;73,39%;39200000;75,35714286;4;0;7;12;28;40;70,00%;27%;8;14;57,14%
SACo7;02/10/2016 Bologna-Genoa;H;L;0;0 a 1;0;1;43,30%;6;3;50,00%;274;359;76,32%;38700000;73,35714286;1;2;8;22;8;15;53,33%;68%;14;28;50,00%
SACo8;16/10/2016 Lazio-Bologna;A;D;1;1 a 1;1;1;36,60%;10;4;40,00%;224;307;72,96%;29500000;55,5;3;0;16;13;27;35;77,14%;35%;5;6;83,33%
SACo9;23/10/2016 Bologna-Sassuolo;H;D;1;1 a 1;1;1;49,10%;14;4;28,57%;366;445;82,25%;29300000;63,78571429;0;0;11;13;27;40;67,50%;48%;9;10;90,00%
